     Block      Mined          Earned            Paid          Bounty
    106115      False      0.00000000      0.00000000      0.00000000
    106114      False      0.00000000      0.00000000      0.00000000
    106113      False      0.00000000      0.00000000      0.00000000
    106112      False      0.00000000      0.00000000      0.00000000
    106111      False      0.00000000      0.00000000      0.00000000
    106110      False      0.00000000      0.00000000      0.00000000
    106109      False      0.00000000      0.00000000      0.00000000
    106108      False      0.00000000      0.00000000      0.00000000
    106107      False      0.00000000      0.00000000      0.00000000
    106104      False      0.00000000      0.00000000      0.00000000
    106103      False      0.00000000      0.00000000      0.00000000
    106102      False      0.00000000      0.00000000      0.00000000
    106098      False      0.00000000      0.00000000      0.00000000
    106097      False      0.00000000      0.00000000      0.00000000
    106096      False      0.00000000      0.00000000      0.00000000
    106095      False      0.00000000      0.00000000      0.00000000
    105751      False      0.00000000      0.00000000      0.00000000
    105750      False      0.00000000      0.00000000      0.00000000
    105319      False      0.00000000      0.00000000      0.00000000
    105318      False      0.00000000      0.00000000      0.00000000
    105317      False      0.00000000      0.00000000      0.00000000
    105026      False      0.00000000      0.00000000      0.00000000
    101313      False      0.00000000      0.00000000      0.00000000
    101312      False      0.00000000      0.00000000      0.00000000
